"plot","unit","treatment"
"camas_k02","camas","thinburn"
"camas_k04","camas","thinburn"
"camas_k06","camas","thinburn"
"camas_k08","camas","thinburn"
"camas_k10","camas","thinburn"
"camas_k12","camas","thinburn"
"camas_k14","camas","thinburn"
"camas_l03","camas","thinburn"
"camas_l07","camas","thinburn"
"camas_l09","camas","thinburn"
"camas_l11","camas","thinburn"
"camas_m02","camas","thinburn"
"camas_m04","camas","thinburn"
"camas_m08","camas","thinburn"
"camas_m10","camas","thinburn"
"camas_m14","camas","thinburn"
"camas_n03","camas","thinburn"
"camas_n09","camas","thinburn"
"camas_n11","camas","thinburn"
"camas_n13","camas","thinburn"
"crow1_j03","crow1","thin"
"crow1_j05","crow1","thin"
"crow1_j09","crow1","thin"
"crow1_j11","crow1","thin"
"crow1_k02","crow1","thin"
"crow1_k04","crow1","thin"
"crow1_k06","crow1","thin"
"crow1_k08","crow1","thin"
"crow1_k10","crow1","thin"
"crow1_k12","crow1","thin"
"crow1_l01","crow1","thin"
"crow1_l05","crow1","thin"
"crow1_l07","crow1","thin"
"crow1_l09","crow1","thin"
"crow1_m02","crow1","thin"
"crow1_m04","crow1","thin"
"crow1_m06","crow1","thin"
"crow1_m08","crow1","thin"
"crow1_m10","crow1","thin"
"crow1_m12","crow1","thin"
"crow1_n01","crow1","thin"
"crow1_n09","crow1","thin"
"crow1_n11","crow1","thin"
"crow1_o02","crow1","thin"
"crow1_o04","crow1","thin"
"crow1_o06","crow1","thin"
"crow1_o10","crow1","thin"
"crow1_p03","crow1","thin"
"crow1_p07","crow1","thin"
"crow1_p09","crow1","thin"
"crow3_k03","crow3","control"
"crow3_k05","crow3","control"
"crow3_k07","crow3","control"
"crow3_k11","crow3","control"
"crow3_l02","crow3","control"
"crow3_l04","crow3","control"
"crow3_l06","crow3","control"
"crow3_l08","crow3","control"
"crow3_l12","crow3","control"
"crow3_l13","crow3","control"
"crow3_l14","crow3","control"
"crow3_m01","crow3","control"
"crow3_m03","crow3","control"
"crow3_m05","crow3","control"
"crow3_m07","crow3","control"
"crow3_m09","crow3","control"
"crow3_m13","crow3","control"
"crow3_m15","crow3","control"
"crow3_n02","crow3","control"
"crow3_n04","crow3","control"
"crow3_n06","crow3","control"
"crow3_n08","crow3","control"
"crow3_n10","crow3","control"
"crow3_n12","crow3","control"
"crow6_l12","crow6","thinburn"
"crow6_l14","crow6","thinburn"
"crow6_m09","crow6","thinburn"
"crow6_m11","crow6","thinburn"
"crow6_m13","crow6","thinburn"
"crow6_n12","crow6","thinburn"
"crow6_o03","crow6","thinburn"
"crow6_o05","crow6","thinburn"
"crow6_o09","crow6","thinburn"
"crow6_o13","crow6","thinburn"
"crow6_o15","crow6","thinburn"
"crow6_p02","crow6","thinburn"
"crow6_p04","crow6","thinburn"
"crow6_p06","crow6","thinburn"
"crow6_p08","crow6","thinburn"
"crow6_p12","crow6","thinburn"
"crow6_q03","crow6","thinburn"
"crow6_q05","crow6","thinburn"
"crow6_q07","crow6","thinburn"
"crow6_q09","crow6","thinburn"
"crow6_q11","crow6","thinburn"
"crow6_q13","crow6","thinburn"
"crow6_r04","crow6","thinburn"
"crow6_r06","crow6","thinburn"
"crow6_s05","crow6","thinburn"
"crow6_s07","crow6","thinburn"
"crow6_s09","crow6","thinburn"
"crow6_t06","crow6","thinburn"
"pendleton_k01","pendleton","burn"
"pendleton_k03","pendleton","burn"
"pendleton_k07","pendleton","burn"
"pendleton_l02","pendleton","burn"
"pendleton_l04","pendleton","burn"
"pendleton_l06","pendleton","burn"
"pendleton_l08","pendleton","burn"
"pendleton_m01","pendleton","burn"
"pendleton_m05","pendleton","burn"
"pendleton_m07","pendleton","burn"
"pendleton_n02","pendleton","burn"
"pendleton_n04","pendleton","burn"
"pendleton_n06","pendleton","burn"
"pendleton_n08","pendleton","burn"
"pendleton_o01","pendleton","burn"
"pendleton_o03","pendleton","burn"
"pendleton_o05","pendleton","burn"
"pendleton_o06","pendleton","burn"
"pendleton_o07","pendleton","burn"
"pendleton_o09","pendleton","burn"
"pendleton_p02","pendleton","burn"
"pendleton_p04","pendleton","burn"
"pendleton_p06","pendleton","burn"
"pendleton_q01","pendleton","burn"
"pendleton_q03","pendleton","burn"
"pendleton_q05","pendleton","burn"
"pendleton_q07","pendleton","burn"
"pendleton_r04","pendleton","burn"
"ruby_j02","ruby","thin"
"ruby_k01","ruby","thin"
"ruby_k03","ruby","thin"
"ruby_l02","ruby","thin"
"ruby_l04","ruby","thin"
"ruby_n02","ruby","thin"
"ruby_n06","ruby","thin"
"ruby_o01","ruby","thin"
"ruby_o03","ruby","thin"
"ruby_o12","ruby","thin"
"ruby_p05","ruby","thin"
"ruby_p08","ruby","thin"
"ruby_q07","ruby","thin"
"ruby_q10","ruby","thin"
"ruby_r06","ruby","thin"
"ruby_r09","ruby","thin"
"ruby_s05","ruby","thin"
"ruby_s08","ruby","thin"
"ruby_s11","ruby","thin"
"ruby_t07","ruby","thin"
"ruby_t09","ruby","thin"
"ruby_t12","ruby","thin"
"spromberg_j03","spromberg","burn"
"spromberg_j05","spromberg","burn"
"spromberg_j07","spromberg","burn"
"spromberg_k02","spromberg","burn"
"spromberg_k04","spromberg","burn"
"spromberg_k06","spromberg","burn"
"spromberg_l01","spromberg","burn"
"spromberg_l05","spromberg","burn"
"spromberg_l07","spromberg","burn"
"spromberg_l09","spromberg","burn"
"spromberg_m02","spromberg","burn"
"spromberg_m04","spromberg","burn"
"spromberg_m06","spromberg","burn"
"spromberg_m10","spromberg","burn"
"spromberg_n05","spromberg","burn"
"spromberg_n07","spromberg","burn"
"spromberg_n11","spromberg","burn"
"spromberg_o02","spromberg","burn"
"spromberg_o04","spromberg","burn"
"spromberg_o06","spromberg","burn"
"spromberg_o08","spromberg","burn"
"spromberg_o10","spromberg","burn"
"spromberg_o12","spromberg","burn"
"spromberg_o14","spromberg","burn"
"spromberg_p03","spromberg","burn"
"spromberg_p05","spromberg","burn"
"spromberg_p07","spromberg","burn"
"spromberg_p09","spromberg","burn"
"spromberg_p11","spromberg","burn"
"spromberg_p13","spromberg","burn"
"tripp_j02","tripp","thinburn"
"tripp_j04","tripp","thinburn"
"tripp_j06","tripp","thinburn"
"tripp_k01","tripp","thinburn"
"tripp_k03","tripp","thinburn"
"tripp_k05","tripp","thinburn"
"tripp_k07","tripp","thinburn"
"tripp_k09","tripp","thinburn"
"tripp_k15","tripp","thinburn"
"tripp_l06","tripp","thinburn"
"tripp_l08","tripp","thinburn"
"tripp_l12","tripp","thinburn"
"tripp_m07","tripp","thinburn"
"tripp_m09","tripp","thinburn"
"tripp_m11","tripp","thinburn"
"tripp_m13","tripp","thinburn"
"tripp_m15","tripp","thinburn"
"tripp_n10","tripp","thinburn"
"tripp_n14","tripp","thinburn"
"tripp_o09","tripp","thinburn"
"tripp_o13","tripp","thinburn"
"tripp_o15","tripp","thinburn"
